,Transaction ID,1,1-prox,2,2-prox,3,3-prox,4,4-prox,5,5-prox,6,6-prox,7,7-prox,8,8-prox,9,9-prox,10,10-prox
0,1,31,0.9745341192930457,258,0.9663583291835345,377,0.9622971005813923,333,0.9526309734518092,149,0.945287670328641,196,0.9447562985629261,234,0.8749872062387445,261,0.8749391381645863,11,0.8744077055238229,152,0.8743865527976667
1,2,239,0.9937951066182763,515,0.990369664877552,131,0.9866423265116877,511,0.9865218531683724,378,0.984813818344014,512,0.9842860197957917,432,0.9824441824014775,348,0.9823695318788285,47,0.9821706860610089,261,0.9817479304476298
2,3,498,0.7466745323039605,309,0.7112054169824348,315,0.620591660233248,354,0.6157461918387919,213,0.6134064997441125,442,0.6115202022852833,274,0.6111217717207936,144,0.6106182369495843,330,0.606295184098579,407,0.604767105373706
3,4,156,0.7067823435604742,227,0.6935760489834557,321,0.6860141449267595,315,0.6854957675762259,455,0.6854957065336371,495,0.6845315210697527,249,0.6845122028459634,186,0.684438547471167,284,0.6825446257127541,64,0.6823703145771239
4,5,138,0.9749729695601158,60,0.9636457806857173,249,0.9601753763075962,64,0.9472842034179491,121,0.8621146019337103,416,0.8620802784204803,13,0.859675761611205,374,0.8496505259547105,200,0.8433254248493607,209,0.8413262099724622
5,6,59,0.9917110239319207,293,0.9872818210830272,91,0.9818491886380167,84,0.9793159665142718,36,0.9625392582816006,300,0.9616095242463752,506,0.956042390685701,124,0.9395277670041102,390,0.8704144069161002,489,0.8664967403550956
6,7,46,0.8484648342953885,199,0.805344563208963,25,0.7474671305167633,502,0.7473305330362012,419,0.7463086936677307,492,0.7454165936394634,159,0.7400691992581817,90,0.7389106900491724,231,0.7372380220564148,430,0.7368977290026116
7,8,351,0.9970191122880265,135,0.9733591469437136,99,0.9725953797762072,19,0.9661043889061389,370,0.9480170062302739,231,0.8739306944100629,502,0.8638151722649544,223,0.8637586556765084,46,0.8616762446049478,90,0.8607803028600709
8,9,476,0.9817981182595863,11,0.9686976284325846,32,0.9672912237961249,352,0.963086960690179,297,0.9616110568719465,514,0.9519389820934315,379,0.9488390022198674,437,0.948838458299187,314,0.9424594829154846,230,0.9412719489900726
9,10,409,0.9774760763641971,452,0.9741036644329513,412,0.9676704879466977,389,0.9646096615005688,396,0.9617227273846285,28,0.9582029010258564,141,0.9566749525669528,403,0.9565043070879541,468,0.9428337253639356,247,0.9388082601539358
10,11,32,0.9981237456860078,514,0.9804266369738638,437,0.9762902945630265,379,0.9735070319482453,230,0.9717639529902066,9,0.9686976284325846,476,0.9683956329224293,313,0.9645589092450019,271,0.962890476584196,217,0.9627780571082618
11,12,151,0.8710826022339352,427,0.8689607455274542,315,0.8666778881339654,429,0.8655278574422133,69,0.8600469254174103,322,0.8549358362488846,321,0.8546905774482416,266,0.8510702668883299,463,0.8410086667526613,33,0.834855555858204
12,13,121,0.8722808623046852,374,0.8635740072496221,5,0.859675761611205,200,0.8563651433534087,60,0.8521960039996919,272,0.8515018794085312,358,0.8499381787961547,284,0.8488523999309142,249,0.847076344691294,315,0.8462122313331484
