,Transaction ID,1,1-prox,2,2-prox,3,3-prox,4,4-prox,5,5-prox
0,1,31,0.9716513754131817,377,0.9612672091001235,258,0.9540870564015106,149,0.9375365072180594,196,0.9315032626715286
1,2,239,0.9849752470590221,515,0.9837915699589761,378,0.978131218130076,348,0.9768638488943111,180,0.9758630537994124
2,3,498,0.7256307349662459,309,0.6595801088551592,354,0.6120335848194793,442,0.6014220258396012,321,0.5991961558922632
3,4,156,0.6860170543540693,455,0.67863641414989,315,0.662634122959312,200,0.658494467894984,284,0.6573181201617475
4,5,60,0.9531555310101011,249,0.9527726127690241,138,0.9482475009736115,64,0.9439152848002303,121,0.8485454877107376
5,6,84,0.9693900704576219,91,0.9650514960911476,293,0.9623239038581741,506,0.9479822471749393,300,0.9426757222175788
6,7,46,0.8414402707013422,199,0.7963824107254426,231,0.7358784195826895,430,0.7336381331954986,492,0.7281519694264065
7,8,19,0.9644631781228215,135,0.9608515429126149,99,0.9500826843779231,370,0.947773448151433,351,0.8799547277544799
8,9,352,0.9551056579290731,476,0.9519977984476895,514,0.9472565225569444,11,0.942604070316934,230,0.9406690611188967
9,10,452,0.9716008125671095,412,0.9622768792486764,389,0.9614814093759125,396,0.9590592639298032,28,0.9555676588740957
10,11,437,0.962925680637309,379,0.9593714286187089,476,0.9557455538842484,514,0.9506897436791961,9,0.942604070316934
11,12,429,0.7585729185249931,427,0.7562712631681442,363,0.7560802611920602,151,0.7559514572731749,315,0.7491567108279329
12,13,121,0.8708401176136127,374,0.8565712619901926,5,0.8470780976273691,358,0.8462210199827638,200,0.8443293869939066
13,14,398,0.8197147153225931,191,0.8191142465875215,157,0.8129767116395245,264,0.8122095928575677,328,0.8067696313556215
14,15,125,0.9648144721735985,22,0.8675996000751978,244,0.8599600672726775,57,0.8568899336887106,288,0.855360465109427
15,16,268,0.9718846912607734,394,0.9584379630015659,391,0.9529167381566879,393,0.8657082438734673,117,0.8573240428797767
16,17,294,0.987657787737716,341,0.8621636723006973,42,0.8475556891199545,410,0.8470917377699492,509,0.8360241076437414
17,18,32,0.7416497473216795,310,0.7227030755099819,115,0.7208619933678944,118,0.7206881645244736,297,0.7080342668801672
18,19,8,0.9644631781228215,135,0.935190798128359,99,0.9249499160696028,370,0.9210161888009056,366,0.864625191706365
19,20,225,0.6929137573475905,46,0.6145699788619401,390,0.6124174022958061,223,0.6078675723710084,341,0.606444089302447
20,21,40,0.9707380552873128,146,0.9704680424458445,117,0.9697934946464928,243,0.9571292526702149,87,0.9551126993589514
21,22,15,0.8675996000751978,125,0.8582722317881646,175,0.8409464845329855,181,0.8409464503243326,391,0.7572389502794813
22,23,201,0.8666550855975206,109,0.8616955997271167,170,0.855207652795469,259,0.8540614938737385,507,0.8510954722510419
23,24,201,0.8159893635095911,208,0.7479069972311517,270,0.7434724064751286,468,0.7186865269021876,193,0.7180226218467631
24,25,492,0.9764090403230514,496,0.9550942568822781,223,0.9538795684543241,52,0.9499767622401492,423,0.8534213161767708
25,26,217,0.9789111995231636,230,0.9785979844424897,92,0.9596288936095447,352,0.9557961033937725,314,0.9530093377073366
26,27,338,0.9703440652100569,458,0.9550606123463571,402,0.943330707287451,292,0.9403266375956494,399,0.9402600450602899
27,28,389,0.9922444579025346,141,0.9682794407102651,452,0.967092733736814,412,0.9617793522212597,396,0.9575800465194215
28,29,109,0.8680446050131159,464,0.8298338895428012,235,0.768018211607868,339,0.7637379800260544,373,0.7634761652976744
29,30,421,0.6043994686764828,418,0.5929322644961,505,0.5889683197398823,277,0.5507520390749336,4,0.5167722156806763
30,31,377,0.9829664660173121,1,0.9716513754131817,258,0.94345266887039,149,0.9245568734002803,196,0.915602772204662
31,32,297,0.9120034335922149,409,0.8489086221563701,9,0.8480859006610364,514,0.8377909101564687,511,0.8376774593680227
32,33,69,0.9438833686188295,463,0.8667130211025303,493,0.8481190958577688,461,0.8454378920714353,322,0.8331747796920068
33,34,133,0.9806479074357012,40,0.9617059224232479,21,0.9482223884264902,87,0.9459702359160491,74,0.9455513706516936
34,35,235,0.968589098368968,286,0.8565216126767919,300,0.8560158513830126,224,0.8543656757433238,400,0.8451714524515277
35,36,124,0.9486330316419456,91,0.9468087090131543,293,0.9410949379232818,300,0.9389356737692953,6,0.9351522065649468
36,37,269,0.9744355196645047,346,0.9705602277243056,376,0.9585946257972997,451,0.9497308980679979,61,0.9466405153221964
37,38,103,0.8526256338931917,283,0.8401671936149675,337,0.8350642942993183,252,0.8271339515541004,144,0.826334003076852
38,39,430,0.9478113735194176,193,0.8938945783851073,326,0.8663394468405087,179,0.8600603929121902,465,0.8596305745213724
39,40,133,0.9747672725202847,21,0.9707380552873128,34,0.9617059224232479,87,0.9614091160724239,74,0.9587441798408174
40,41,70,0.9327355389756687,145,0.818036393585415,445,0.8027047699558327,267,0.798630453251147,44,0.7880877693953221
41,42,509,0.9586553222641596,46,0.8514957399632365,17,0.8475556891199545,294,0.843053122268224,439,0.8202712751632564
42,43,436,0.9734940246446412,460,0.951637272316599,275,0.871189330628149,343,0.8650607127264601,179,0.8620185936163305
43,44,267,0.9834297864163484,145,0.9653119690498337,240,0.8571574422426604,328,0.8510450538115865,481,0.8474347354281518
44,45,413,0.8335338296614198,298,0.8037940279230111,185,0.7987131768896352,178,0.7984298222449515,283,0.7238862470758527
45,46,199,0.9284627884243275,223,0.8625703750791132,8,0.8603243860901255,341,0.859962649425679,390,0.8580251506469898
46,47,2,0.9725260724686928,239,0.9711838058029127,71,0.9711770914396206,515,0.9706577368299053,48,0.9703157734711705
47,48,71,0.9936043913672099,180,0.9909784949504061,171,0.9789592959205893,515,0.9787263124744506,348,0.9783513798631407
48,49,211,0.9532552247831787,240,0.8283543797976938,267,0.823223137111103,44,0.8180269008262641,145,0.7983955575174563
49,50,473,0.7230013355070164,144,0.6469746906792628,356,0.6387536346637342,280,0.6385311067674642,19,0.636423480895882
50,51,136,0.9591880141162745,188,0.9381881995271799,253,0.9344434225742866,67,0.929326631545287,192,0.926203352204807
51,52,223,0.9565373301108077,492,0.9520718142840775,25,0.9499767622401492,496,0.9370369045756819,370,0.8499373168825884
52,53,288,0.9694717403206721,499,0.953075139786034,255,0.9233896041764084,15,0.8527289507290512,181,0.8489509797977762
53,54,48,0.8643334979042565,71,0.8625023596806782,282,0.8563797904016553,180,0.8563134984909453,348,0.8470139612305403
54,55,183,0.992105005499009,243,0.9822344846811416,117,0.9744866733070876,146,0.9518372865202782,74,0.9503101201705139
55,56,375,0.8409409369080777,264,0.8393584775390392,428,0.8337404067228753,191,0.8288388662464953,475,0.8181685011150375
56,57,15,0.8568899336887106,125,0.8461971846684421,22,0.7474196517776169,53,0.7312603705107539,288,0.7286458710976311
57,58,411,0.8483560842184161,296,0.84633727979485,130,0.845926615143369,357,0.8315589377853804,519,0.8312993693990481
58,59,6,0.8751335163963966,293,0.8631836502208855,84,0.8631008595418024,91,0.8612406286510917,506,0.8423786638077048
59,60,64,0.9773258468597039,138,0.9541378815375352,5,0.9531555310101011,249,0.9408502174785676,374,0.8545024590841723
60,61,376,0.979053511932076,346,0.9683158933847091,340,0.9472139949845406,37,0.9466405153221964,451,0.9456411570590453
