,Transaction ID,1,1-prox,2,2-prox,3,3-prox,4,4-prox,5,5-prox
0,1,259,0.860754489390973,51,0.8455727328345155,93,0.8432098994912205,269,0.8283089896534793,69,0.8274062804733506
1,2,56,0.8565792937849,144,0.8188225505901255,16,0.8164627532636757,218,0.8145578735867003,103,0.793812153382806
2,3,17,0.8518812167167434,106,0.8289617346133908,59,0.8255328038283511,191,0.820541421211965,38,0.8136009117124723
3,4,163,0.959534912612444,168,0.9586445938433469,116,0.948368411660957,198,0.9427104839348809,149,0.9272380359043497
4,5,201,0.6178377233759734,132,0.6019652250540499,173,0.5990207571871499,120,0.5990086856139487,115,0.5920073366622213
5,6,64,0.972073740597849,253,0.9419349431925583,73,0.8400507638141345,103,0.8355257055291215,193,0.8303217327662766
6,7,212,0.7057390617115842,21,0.6964168850198926,11,0.6963856016921948,81,0.6821539312225451,216,0.6810880076605713
7,8,47,0.9442079669446681,26,0.9297865287982023,50,0.8553947875710588,231,0.84648408397232,67,0.8454826511347887
8,9,265,0.7068003561677088,120,0.6673083134384816,128,0.6457994784687862,36,0.5835413344286408,123,0.583272524402939
9,10,164,0.9922945961648907,177,0.9853136159724769,107,0.9734981138710038,23,0.9681140858109226,166,0.9575397000987818
10,11,21,0.9676338978522008,81,0.9477933890102732,105,0.852973587398175,214,0.829665508648985,98,0.8239915742594747
11,12,243,0.9310854984067223,215,0.8407689227060504,252,0.8343475366910813,131,0.8337290955476377,18,0.8316404797823143
12,13,105,0.8307667655372838,211,0.8207046766416332,42,0.8103613014064113,124,0.7909082279924216,273,0.772997747659395
13,14,16,0.8252592006073656,103,0.8103183144608822,63,0.7998050123128799,167,0.7023231916685717,36,0.7010248154082781
14,15,279,0.9835776054047095,171,0.9590446858672412,181,0.9566703246555173,257,0.9492832617231869,142,0.9480634944255761
15,16,103,0.9702830356600792,63,0.9630138550944822,36,0.8666027422500981,188,0.8377826197215104,215,0.8377343358032233
16,17,3,0.8518812167167434,175,0.8516054786863947,248,0.8453310217785293,29,0.8433117254094497,77,0.8421222078583559
17,18,127,0.9830354611794112,236,0.8387777492919466,160,0.8362854860531952,243,0.8344813049164085,12,0.8316404797823143
18,19,219,0.832960832985524,190,0.734891726868088,96,0.717264474205747,20,0.7165772130973269,57,0.709370924640923
19,20,96,0.9629817735101568,276,0.9493972973210495,203,0.931177453052638,42,0.8711334117520213,271,0.8532849213699485
20,21,11,0.9676338978522008,81,0.9327565814364271,105,0.8544417759208784,44,0.8519771547463054,57,0.8299124442251771
21,22,67,0.9586419255292156,188,0.8625804358601097,48,0.8438358985718699,36,0.8412729396208322,231,0.8394497755118309
22,23,166,0.9798118256153385,186,0.971002482148338,164,0.9705637505216225,10,0.9681140858109226,177,0.9676425051833122
23,24,58,0.9731883412071111,266,0.9707275982370245,255,0.9706722299578586,281,0.9687798615820574,272,0.9681645539973821
24,25,192,0.8234144726789294,214,0.8224056576747824,35,0.8204034363392515,147,0.8090183281399905,162,0.8028957916717903
25,26,47,0.9639581812330056,8,0.9297865287982023,60,0.8624883186991525,28,0.8599836775571791,254,0.8594575891651071
26,27,96,0.7258588983568663,283,0.7258540241570876,193,0.7189397477258122,233,0.7179635335769892,134,0.7163443956783355
27,28,216,0.9656436247012932,202,0.9603359769674291,200,0.9599639341778434,155,0.9146414168062165,288,0.8717758203349748
28,29,77,0.9930527574170146,223,0.9790098710173313,248,0.9736156113859362,175,0.9522918486738459,262,0.9314685368016655
29,30,253,0.8241458206933673,251,0.8198128854857003,277,0.8118716432009,6,0.8061082946617246,64,0.8046572894194458
30,31,75,0.9734164528261045,126,0.9570980563087612,23,0.8683179841342541,241,0.8638709574020138,285,0.8574227658311031
31,32,205,0.7347548543464646,73,0.7340830091744005,273,0.7251336487716554,247,0.7140725111785345,215,0.7062906409420054
32,33,221,0.7522596534375592,102,0.7235449034950026,65,0.7130230574341332,38,0.7128970063184548,256,0.707802229346818
33,34,78,0.956989960085766,167,0.9433737149503225,246,0.9412256569122458,233,0.8565484133910845,283,0.8427038539576737
34,35,132,0.850575058847293,147,0.8407492649396406,133,0.8342281179401603,190,0.8298437180164107,25,0.8204034363392515
35,36,188,0.9663559850862946,231,0.9608844984302255,50,0.9553074288337591,48,0.9465620572380363,91,0.9175140722904883
36,37,180,0.9617269478517618,186,0.9590903803675672,166,0.9571025593785971,23,0.9455078877626731,10,0.9309832858676361
37,38,59,0.9730814353489802,65,0.9684628173767151,97,0.9631829695543388,125,0.9611654136164773,87,0.9597252079602667
38,39,81,0.8064568642991004,11,0.7658603450589665,21,0.7638736760712003,42,0.7072225196140882,52,0.7002588170711599
39,40,99,0.9808589330366829,145,0.9780519867973859,72,0.9774833828347013,225,0.9744117467177489,157,0.9586972894253604
40,41,90,0.7403435317229057,236,0.7369882808774436,123,0.7363514797541048,179,0.7302686585610451,38,0.6334466398840657
41,42,273,0.9227698923633099,105,0.9081352837158004,20,0.8711334117520213,271,0.8545883505330927,81,0.8405721956910454
42,43,280,0.635317909249418,236,0.6170794031431597,69,0.6048088561840776,243,0.5360481151954146,51,0.5348283277701253
43,44,88,0.9518655089804795,21,0.8519771547463054,57,0.8479813395882181,219,0.8409496814162583,214,0.8408518086136754
44,45,142,0.8627563698031206,257,0.8540301461462088,279,0.8463265682391183,15,0.8329543409036406,138,0.8277496457998801
45,46,174,0.9240029530651745,245,0.824112166346433,160,0.8119300502524632,2,0.7129807336897787,146,0.702959722202603
46,47,26,0.9639581812330056,8,0.9442079669446681,247,0.86084690136919,109,0.8502944942288664,98,0.842706061216171
47,48,188,0.963716264137766,91,0.9636751662424416,231,0.955315551315914,50,0.9474940849814694,36,0.9465620572380363
48,49,278,0.8373189559587941,52,0.8316027884979846,250,0.7433396488964551,132,0.7403915181153121,275,0.7394324373721042
49,50,231,0.9872399629512673,188,0.9646947522956404,36,0.9553074288337591,48,0.9474940849814694,91,0.9213249344823579
50,51,178,0.8663242551157496,83,0.8635381692710067,208,0.861804000552946,267,0.8604971400995255,285,0.8596771604561324
51,52,278,0.9537323458441296,271,0.8608530135445277,147,0.8505310525744352,81,0.8468143018648687,132,0.8378076805882884
52,53,169,0.9384249504191695,131,0.9236679090137553,252,0.8707137229366688,253,0.8091121423977031,243,0.7870915302732306
53,54,249,0.8673585096854038,269,0.8526837218659818,129,0.8502554517568777,93,0.8226964817330489,227,0.7554692762149761
54,55,162,0.8294334186114131,147,0.8243498401498999,35,0.8048989772949651,44,0.7940079069863426,88,0.7913342873554516
55,56,2,0.8565792937849,131,0.8403855824075624,243,0.8384629220906661,169,0.8258633968798129,122,0.8160669804990569
56,57,219,0.8660690301643433,88,0.8497804910147603,44,0.8479813395882181,190,0.845945640643225,214,0.8457991817883068
57,58,255,0.9874692751532335,266,0.9808285633203075,267,0.9788129839911467,83,0.9779512915332098,208,0.9775952007260575
58,59,125,0.9823250382607417,38,0.9730814353489802,106,0.9725782964096721,97,0.9720259295158332,191,0.9681089688120521
59,60,109,0.9789968042731991,121,0.9384159347238601,254,0.8675409240414846,28,0.86493276378611,128,0.8628524914942641
60,61,100,0.8219097266218787,241,0.8174713466579119,3,0.8064085195672394,201,0.8010603489661842,17,0.7982324898043032
61,62,113,0.9460348932564231,139,0.9328669004709796,187,0.9270820815938886,150,0.9149198116509196,106,0.8404473035535752
62,63,103,0.963048897854497,16,0.9630138550944822,50,0.8436514666174987,231,0.8374715123280255,36,0.8350749334799127
63,64,6,0.972073740597849,253,0.9383319790924287,103,0.8588939726282472,73,0.8572371816703779,16,0.8308566076842172
64,65,87,0.9804011313023362,222,0.9781124721461318,153,0.9765990505117669,191,0.9711617400567041,38,0.9684628173767151
65,66,277,0.8267235886840032,211,0.8103147679161141,71,0.7957765366323283,13,0.7138778404290596,20,0.7076928519667192
66,67,22,0.9586419255292156,8,0.8454826511347887,155,0.8454669091989251,188,0.8406662588539748,50,0.8362112879769013
67,68,36,0.8578226638601849,188,0.8534288339113029,231,0.8509934427165982,50,0.8454922779122007,48,0.8310845672393572
68,69,269,0.8717547994967959,164,0.8678171332539725,10,0.8666168251712691,177,0.8652403710429178,23,0.8576431891852461
69,70,58,0.8562448750662076,266,0.8511080632502055,255,0.849085137396407,208,0.8481107989655687,285,0.8466750167427126
70,71,66,0.7957765366323283,211,0.7134817864508175,146,0.7130357589353172,268,0.6983422107466293,46,0.6976288988580567
71,72,145,0.986717384899604,225,0.9857741001610506,40,0.9774833828347013,157,0.9756854425765172,227,0.9716441957726352
72,73,193,0.9648509222483288,271,0.9188273951217095,64,0.8572371816703779,273,0.8509774442612089,6,0.8400507638141345
73,74,213,0.9639225520624688,224,0.9635201724283264,104,0.9583957207060758,141,0.9571479543601839,151,0.9491749812715005
74,75,126,0.9808912488651007,31,0.9734164528261045,259,0.8705133644001006,208,0.8641292339341158,58,0.8629135095676725
75,76,108,0.7928972124983216,233,0.7299108607895745,283,0.7296066072946559,34,0.7202767811934645,137,0.7145325252656582
76,77,29,0.9930527574170146,223,0.9762895781810045,248,0.9740581753184241,175,0.9508748866614068,262,0.9297121358414212
77,78,167,0.9677977605105329,34,0.956989960085766,246,0.9473688117890109,233,0.840802228035518,165,0.836695305527421
78,79,220,0.9687603469027274,159,0.724574320680417,183,0.710974503644307,212,0.7075087919408714,80,0.6615730814096515
79,80,132,0.8648179073104922,98,0.8599210161480589,214,0.8568181551282276,81,0.8552425635398951,117,0.8534655016294266
80,81,11,0.9477933890102732,21,0.9327565814364271,132,0.8565685423484022,214,0.8561969491716285,117,0.8559152903991085
81,82,253,0.8584041029467255,251,0.8350205035466465,111,0.8346201841635396,94,0.832771090914554,215,0.8265667716351934
82,83,178,0.9813942321444236,208,0.979658835149661,58,0.9779512915332098,285,0.9757835695398932,255,0.9749749052958356
83,84,199,0.9510851293549842,195,0.9265327077859039,10,0.8682086864721854,164,0.8637719131613044,87,0.8603473527940122
84,85,141,0.962139098883836,151,0.9576152988297087,224,0.9527187267200176,104,0.9524127725023179,213,0.9481838015461248
85,86,227,0.9582377050948772,72,0.9569099244741668,157,0.9549510952190294,40,0.949807255655814,145,0.9494244633812562
86,87,153,0.9934593895277903,222,0.9853311429353608,65,0.9804011313023362,136,0.9770756625072665,286,0.972232924827259
87,88,44,0.9518655089804795,57,0.8497804910147603,219,0.8496335638844393,247,0.8486619606634742,190,0.844097848977867
88,89,28,0.8613458016288793,214,0.8548055887453894,216,0.8493576576331727,200,0.8450249255030886,202,0.8449989005456773
89,90,97,0.8762411850217795,59,0.8730207663456322,191,0.8719461665143915,125,0.8704522748648067,38,0.8647011164511205
90,91,48,0.9636751662424416,188,0.9359040281134914,231,0.9292268536438186,50,0.9213249344823579,36,0.9175140722904883
91,92,132,0.8598285373282288,190,0.8391456197960142,230,0.7468573144311503,80,0.7440090336054054,115,0.7399460936287144
92,93,269,0.9420944012525605,213,0.8702125859725588,74,0.8663877846381405,104,0.8634092278656701,141,0.8541933656593476
93,94,26,0.8505200787263396,202,0.8450097557366312,204,0.8442266409992998,60,0.8418194535772383,28,0.8399135942997661
94,95,277,0.8349017303115841,268,0.80066015916073,174,0.7193751980254245,160,0.6963314082706384,211,0.692273625400373
95,96,276,0.9633684135371585,20,0.9629817735101568,203,0.922546818173302,219,0.8622313330349355,134,0.859205386629844
96,97,256,0.9827098387579556,191,0.9820853882016428,125,0.9746573854785228,59,0.9720259295158332,38,0.9631829695543388
97,98,247,0.9693295337766159,80,0.8599210161480589,192,0.8538337444076778,214,0.8521381495130791,26,0.851782061949955
98,99,40,0.9808589330366829,145,0.9640056710691234,72,0.9622101864449344,225,0.959893718697276,157,0.9472585173735067
99,100,241,0.9831303067985022,201,0.9676994157506129,173,0.9513032307404121,101,0.9224224605739786,208,0.8562596128846793
100,101,201,0.9469116489620174,173,0.9464484908934152,241,0.9252412719153097,100,0.9224224605739786,230,0.8590529163127356
101,102,65,0.824539513145935,38,0.8229993247569022,256,0.8169609916983293,222,0.8151233521348911,87,0.8147134610260732
102,103,16,0.9702830356600792,63,0.963048897854497,64,0.8588939726282472,231,0.8527766517363415,36,0.8479718611551325
103,104,213,0.9910170574542467,141,0.9653310044496947,145,0.9643265902807131,151,0.9597612734033318,72,0.9592082158420013
