,Transaction ID,1,1-prox,2,2-prox,3,3-prox,4,4-prox,5,5-prox,6,6-prox,7,7-prox,8,8-prox,9,9-prox,10,10-prox
0,1,31,0.9716513754131817,377,0.9612672091001235,258,0.9540870564015106,149,0.9375365072180594,196,0.9315032626715286,333,0.9110525207845779,348,0.8711571083876257,338,0.8653742530432987,452,0.8636334444934353,239,0.8596161719688583
1,2,239,0.9849752470590221,515,0.9837915699589761,378,0.978131218130076,348,0.9768638488943111,180,0.9758630537994124,261,0.9734122502245821,47,0.9725260724686928,171,0.9723697371977668,71,0.969347295335323,48,0.9670628098285231
2,3,498,0.7256307349662459,309,0.6595801088551592,354,0.6120335848194793,442,0.6014220258396012,321,0.5991961558922632,153,0.5979805795802815,274,0.596224295277875,144,0.5954754673875345,82,0.5946002007473238,473,0.5925570150402658
3,4,156,0.6860170543540693,455,0.67863641414989,315,0.662634122959312,200,0.658494467894984,284,0.6573181201617475,358,0.6552106056566547,209,0.6504281121363552,227,0.6484836754770934,374,0.6479160241158698,88,0.6475945384569535
4,5,60,0.9531555310101011,249,0.9527726127690241,138,0.9482475009736115,64,0.9439152848002303,121,0.8485454877107376,13,0.8470780976273691,374,0.8439224037907256,200,0.8432876638824608,209,0.8381254663580395,358,0.8366560746977291
5,6,84,0.9693900704576219,91,0.9650514960911476,293,0.9623239038581741,506,0.9479822471749393,300,0.9426757222175788,124,0.9374682224494861,36,0.9351522065649468,59,0.8751335163963966,390,0.8539990864253516,331,0.8511659305471329
6,7,46,0.8414402707013422,199,0.7963824107254426,231,0.7358784195826895,430,0.7336381331954986,492,0.7281519694264065,8,0.7279216594147171,90,0.7270712064455029,341,0.726333954815682,410,0.7258544625537032,419,0.7252965220747404
7,8,19,0.9644631781228215,135,0.9608515429126149,99,0.9500826843779231,370,0.947773448151433,351,0.8799547277544799,231,0.8627151226687104,223,0.8621465222962115,46,0.8603243860901255,90,0.8554916127795497,492,0.8521224030958828
8,9,352,0.9551056579290731,476,0.9519977984476895,514,0.9472565225569444,11,0.942604070316934,230,0.9406690611188967,379,0.9395318836789726,437,0.938181729049286,217,0.9324159028563193,314,0.9283913013986629,26,0.9281204711602679
9,10,452,0.9716008125671095,412,0.9622768792486764,389,0.9614814093759125,396,0.9590592639298032,28,0.9555676588740957,141,0.947951219995934,247,0.9313317042113811,468,0.914093784415235,422,0.8598195680336821,409,0.8568764219292263
10,11,437,0.962925680637309,379,0.9593714286187089,476,0.9557455538842484,514,0.9506897436791961,9,0.942604070316934,313,0.9421025007446294,314,0.9364661644360259,271,0.9320535937002845,230,0.9196656898422471,207,0.9170827512790172
11,12,429,0.7585729185249931,427,0.7562712631681442,363,0.7560802611920602,151,0.7559514572731749,315,0.7491567108279329,266,0.7363189227528023,322,0.7256471381334254,166,0.7228425660449775,109,0.7198970599779513,66,0.717206953849387
12,13,121,0.8708401176136127,374,0.8565712619901926,5,0.8470780976273691,358,0.8462210199827638,200,0.8443293869939066,284,0.8440304849787962,60,0.8412437674074806,227,0.8386342854114625,172,0.8384081482949239,354,0.8344192672586915
13,14,398,0.8197147153225931,191,0.8191142465875215,157,0.8129767116395245,264,0.8122095928575677,328,0.8067696313556215,318,0.8065672108134718,510,0.8046889178368201,428,0.8037142204498142,269,0.7268239837348999,70,0.716347475687208
14,15,125,0.9648144721735985,22,0.8675996000751978,244,0.8599600672726775,57,0.8568899336887106,288,0.855360465109427,53,0.8527289507290512,518,0.8482614312060326,392,0.836969714421503,134,0.8307521370205364,499,0.8260520501276774
